"no","区市町村","name","郵便番号","address","phone","lng","lat"
"1","千代田区","東京逓信病院","〒102-8798","千代田区富士見2-14-23","03-5214-7111","139.74379","35.69690"
"2","千代田区","日本大学病院","〒101-8309","千代田区神田駿河台1-6","03-3293-1711","139.76266","35.69711"
"3","千代田区","公益社団法人東京都教職員互助会　三楽病院","〒101-8362","千代田区神田駿河台2-5","03-3292-3981","139.76096","35.70000"
"4","千代田区","社会福祉法人三井記念病院","〒101-8643","千代田区神田和泉町1","03-3862-9111","139.77597","35.69919"
"5","千代田区","公益財団法人佐々木研究所附属　杏雲堂病院","〒101-0062","千代田区神田駿河台1-8","03-3292-2051","139.76324","35.69802"
"6","中央区","木挽町医院","〒104-0061","中央区銀座4-11-4","03-3541-3800","139.76837","35.67014"
"7","中央区","聖路加国際病院","〒104-8560","中央区明石町9-1","03-3541-5151","139.77722","35.66739"
"8","港区","東京慈恵会医科大学附属病院","〒105-8471","港区西新橋3-19-18","03-3433-1111","139.75143","35.66368"
"9","港区","国際医療福祉大学三田病院","〒108-8329","港区三田1-4-3","03-3451-8121","139.74274","35.65316"
"10","港区","東京都済生会中央病院","〒108-0073","港区三田1-4-17","03-3451-8211","139.74274","35.65316"
"11","港区","社会福祉法人恩賜財団母子愛育会総合母子保健センター愛育病院","〒105-0023","港区芝浦1-16-10","03-6453-7300","139.75166","35.64620"
"12","港区","公益財団法人心臓血管研究所付属病院","〒106-0031","港区西麻布3-2-19","03-3408-2151","139.72729","35.65970"
"13","港区","国家公務員共済組合連合会虎の門病院","〒105-8470","港区虎ノ門2-2-2","03-3588-1111","139.74548","35.66904"
"14","港区","独立行政法人地域医療機能推進機構　東京高輪病院","〒108-8606","港区高輪3-10-11","03-3443-9191","139.73128","35.63180"
"15","港区","北里大学北里研究所病院","〒108-8642","港区白金5-9-1","03-3444-6161","139.72552","35.64535"
"16","新宿区","独立行政法人地域医療機能推進機構東京新宿メディカルセンター","〒162-8543","新宿区津久戸町5-1","03-3269-8111","139.74167","35.70395"
"17","新宿区","東京女子医科大学病院","〒162-8666","新宿区河田町8-1","03-3353-8111","139.71954","35.69719"
"18","新宿区","国立研究開発法人国立国際医療研究センター病院","〒162-8655","新宿区戸山1-21-1","03-3202-7181","139.71622","35.70399"
"19","新宿区","医療法人社団鉄友会柳町病院","〒162-0061","新宿区市谷柳町25","03-3268-3521","139.72673","35.69912"
"20","新宿区","医療法人社団仁圭会林外科病院","〒160-0015","新宿区大京町27","03-3357-3161","139.71617","35.68194"
"21","新宿区","慶應義塾大学病院","〒160-8582","新宿区信濃町35","03-3353-1211","139.71805","35.68142"
"22","新宿区","社会福祉法人聖母会聖母病院","〒161-0032","新宿区中落合2-5-1","03-3951-1111","139.69417","35.71974"
"23","新宿区","医療法人社団悦伝会目白病院","〒161-0033","新宿区下落合3-22-23","03-3953-9909","139.69945","35.72267"
"24","新宿区","東京医科大学病院","〒160-0023","新宿区西新宿6-7-1","03-3342-6111","139.69193","35.69378"
"25","新宿区","医療法人社団広恵会春山記念病院","〒169-0073","新宿区百人町1-24-5","03-3363-1661","139.69775","35.69873"
"26","新宿区","独立行政法人地域医療機能推進機構東京山手メディカルセンター","〒169-0073","新宿区百人町3-22-1","03-3364-0251","139.69823","35.70481"
"27","新宿区","公益財団法人東京都保健医療公社　大久保病院","〒160-8488","新宿区歌舞伎町2-44-1","03-5273-7711","139.70126","35.69669"
"28","文京区","東京健生病院","〒112-0012","文京区大塚4-3-8","03-3944-6111","139.73584","35.72448"
"29","文京区","順天堂大学医学部附属順天堂医院","〒113-8431","文京区本郷3-1-3","03-3813-3111","139.76248","35.70240"
"30","文京区","東京大学医学部附属病院","〒113-8655","文京区本郷7-3-1","03-3815-5411","139.76321","35.71415"
"31","文京区","日本医科大学付属病院","〒113-8603","文京区千駄木1-1-5","03-3822-2131","139.75909","35.72112"
"32","文京区","東京都立駒込病院","〒113-0021","文京区本駒込3-18-22","03-3823-2101","139.75500","35.72929"
"33","文京区","東京医科歯科大学病院","〒113-8519","文京区湯島1-5-45","03-3813-6111","139.76430","35.70150"
"34","文京区","医療法人社団大坪会東都文京病院","〒113-0034","文京区湯島3-5-7","03-3831-2181","139.76784","35.70427"
"35","台東区","公益財団法人ライフ・エクステンション研究所付属永寿総合病院","〒110-8645","台東区東上野2-23-16","03-3833-8381","139.77971","35.70954"
"36","台東区","医療法人社団全仁会上野病院","〒110-0015","台東区東上野3-23-4","03-3833-8111","139.77925","35.71135"
"37","台東区","浅草寺病院","〒111-0032","台東区浅草2-30-17","03-3841-3330","139.79662","35.71567"
"38","台東区","医療法人社団哺育会浅草病院","〒111-0024","台東区今戸2-26-15","03-3876-1711","139.80725","35.72122"
"39","台東区","東京都台東区立台東病院","〒111-0031","台東区千束3-20-5","03-3876-1001","139.79272","35.72279"
"40","台東区","医療法人社団正徳会滝口外科胃腸科整形外科","〒111-0042","台東区寿3-2-7","03-3844-2276","139.79276","35.70599"
"41","墨田区","医療法人伯鳳会東京曳舟病院","〒131-0032","墨田区東向島2-27-1","03-5655-1120 ","139.81673","35.71740"
"42","墨田区","医療法人社団隆靖会墨田中央病院","〒131-0046","墨田区京島3-67-1","03-3617-1414","139.82632","35.71316"
"43","墨田区","社会福祉法人恩賜財団済生会済生会支部東京都済生会東京都済生会向島病院","〒131-0041","墨田区八広1-5-10","03-3610-3651","139.82217","35.72079"
"44","墨田区","医療法人社団仁寿会中村病院","〒131-0041","墨田区八広2-1-1","03-3612-7131","139.82367","35.71738"
"45","墨田区","東京都立墨東病院","〒130-8575","墨田区江東橋4-23-15","03-3633-6151","139.81880","35.69489"
"46","墨田区","同愛記念病院","〒130-8587","墨田区横網2-1-11","03-3625-6381","139.79440","35.69976"
"47","墨田区","社会福祉法人賛育会賛育会病院","〒130-0012","墨田区太平3-20-2","03-3622-9191","139.81416","35.70260"
"48","墨田区","医療法人財団正明会山田記念病院","〒130-0011","墨田区石原2-20-1","03-3624-1151","139.80075","35.70105"
"49","江東区","社会医療法人社団順江会江東病院","〒136-0072","江東区大島6-8-5","03-3685-2166","139.83446","35.69021"
"50","江東区","医療法人財団寿康会寿康会病院","〒136-0073","江東区北砂2-1-22","03-3645-9151","139.82628","35.67802"
"51","江東区","医療法人社団藤﨑病院","〒136-0076","江東区南砂1-25-11","03-3648-2111","139.82623","35.67652"
"52","江東区","順天堂大学医学部附属順天堂東京江東高齢者医療センター","〒136-0075","江東区新砂3-3-20","03-5632-3111","139.83154","35.66774"
"53","江東区","独立行政法人地域医療機能推進機構　東京城東病院","〒136-0071","江東区亀戸9-13-1","03-3685-1431","139.84579","35.69516"
"54","江東区","医療法人社団高裕会深川立川病院","〒135-0011","江東区扇橋2-2-3","03-3645-2101","139.81479","35.68267"
"55","江東区","医療法人社団青藍会鈴木病院","〒135-0043","江東区塩浜2-7-3","03-5617-5617","139.80742","35.66205"
"56","江東区","公益財団法人がん研究会有明病院","〒135-0063","江東区有明3-8-31","03-3520-0111","139.79608","35.63501"
"57","江東区","社会福祉法人あそか会あそか病院","〒135-0002","江東区住吉1-18-1","03-3632-0290","139.81210","35.68999"
"58","江東区","医療法人社団修世会木場病院","〒135-0042","江東区木場5-8-7","03-3642-0032","139.80782","35.67043"
"59","江東区","昭和大学江東豊洲病院","〒135-0061","江東区豊洲5-1-38","03-6204-6000","139.79492","35.65104"
"60","品川区","公益財団法人河野臨床医学研究所附属第三北品川病院","〒140-0001","品川区北品川3-3-7","03-3474-1831","139.73907","35.62114"
